,resid_oos_hedged,beta_XLV,beta_XBI,basket,coherence
2011-12-27 14:30:00,0.0005141960209986036,0.9584344547107732,0.11579004373218937,0.004235051392583659,0.6660126637335084
2011-12-28 14:30:00,-0.004417906638958481,0.9665551562292422,0.11735881341388954,-0.016590054944413495,0.6880503367329821
2011-12-29 14:30:00,0.0009472627774028998,0.981485764042958,0.12526248365550186,0.009359106930080166,0.8073751876138541
2011-12-30 14:30:00,0.000881091904115723,0.898962762320467,0.21706405790951006,-0.00011363093073842497,0.8063703400843508
2012-01-03 14:30:00,-0.0020983928717325014,0.8982394218575156,0.2175152611889205,0.009127550852913982,0.8038731392598449
2012-01-04 14:30:00,0.001709626710385753,0.8928485887380609,0.21877113406123444,-0.003401984494523632,0.8055427758406887
2012-01-05 14:30:00,-0.00524253383226998,0.897505057358806,0.21281140381241903,0.004768739505501903,0.797683812002643
2012-01-06 14:30:00,0.00025887158578075196,0.9129924071611903,0.1933597447304638,0.005329478609425268,0.7956559808966698
2012-01-09 14:30:00,-0.006708388881182636,0.9147787053057806,0.19327201296147378,-0.00111860574650946,0.7979770187173637
2012-01-10 14:30:00,-0.0018801311681410915,0.9275003727266846,0.18172540714247132,0.008043042091189445,0.7983022528284537
2012-01-11 14:30:00,0.0024742067012718987,0.9181807683902133,0.1884554870334797,0.0071651210661346125,0.8009866146837918
2012-01-12 14:30:00,-0.008078530796399334,0.9145624178820905,0.19326025438422234,-0.005086117256432783,0.8060462094009665
2012-01-13 14:30:00,0.0024236256328328256,0.912465954626264,0.2054551180424442,-0.0016508788678743318,0.8143467783347301
2012-01-17 14:30:00,-0.0005153187861625707,0.9135146950000474,0.1986669450241808,0.005776905218352797,0.8154955075965257
2012-01-18 14:30:00,-0.0010169076515769843,0.9084200518599752,0.2058952327854915,0.005691966410056759,0.8146501310394272
2012-01-19 14:30:00,0.010947621219458095,0.9032152167483404,0.20990989796220139,0.009456567792103762,0.8150034428556974
2012-01-20 14:30:00,-0.0013566142035206586,0.9297236682987342,0.19718513567143026,-0.0032199302791990903,0.8133645091872541
2012-01-23 14:30:00,0.0060635435323420405,0.9211482399049863,0.17810931900555882,0.0001806070180056333,0.8224357564019478
2012-01-24 14:30:00,0.0001287930194968259,0.9340622854428152,0.1879091908800662,0.0028735702602459647,0.8389742938269049
2012-01-25 14:30:00,0.00719418183689223,0.9477070209762363,0.18346000130300533,0.01873179405448992,0.827034914984465
2012-01-26 14:30:00,-0.0026412427503066114,0.944311371186658,0.20311326588813394,-0.009049092916982563,0.8305602902295327
2012-01-27 14:30:00,-0.0021582116633574655,0.9461228082773012,0.20288190957913044,0.006686551635043984,0.825212087330189
2012-01-30 14:30:00,0.0020119827176028095,0.9631758520631182,0.20012998407396687,-0.0023715514837023832,0.8078127968505951
2012-01-31 14:30:00,0.0016810958938234329,0.9560161217571426,0.18090456500604457,0.0026723748788660315,0.8089127774056034
2012-02-01 14:30:00,0.004695120317472176,0.9508647807027868,0.1821418781527595,0.019387677071431037,0.8149148879279965
2012-02-02 14:30:00,0.00028108197448252264,0.9500098099348161,0.19095083652292344,-0.0009285171752740166,0.8140189964359233
2012-02-03 14:30:00,-0.002018076184765934,0.9574739391119197,0.19587767697364367,0.005722911675527816,0.8142215140217594
2012-02-06 14:30:00,-0.001352666131169843,0.9634052641766494,0.19144340546584804,-0.002998949276274606,0.8019242235163245
2012-02-07 14:30:00,0.0004919336395960295,0.9223356078365204,0.21557146052664167,0.0004688677420640793,0.7745873763408678
2012-02-08 14:30:00,0.003594978051940784,0.9277911172092419,0.2134581547004728,6.587909225734083e-05,0.7728891720134268
2012-02-09 14:30:00,0.004294635791272572,0.9351859252999012,0.2053161573999468,-0.0018828036563593626,0.7658187956927957
2012-02-10 14:30:00,0.0034345085847291615,0.9351227414574805,0.2035730321572301,-0.0021103460746014027,0.7676258550297289
2012-02-13 14:30:00,-0.00510235764106807,0.9389544552815305,0.20062280848016967,0.00815577065835756,0.7861318856167222
2012-02-14 14:30:00,0.0037229335293805592,0.9447299829606872,0.1908571728716727,0.004634590369617293,0.7895015137320995
2012-02-15 14:30:00,0.004179560002672838,0.9711837325715131,0.18117848004876003,0.001757267142581731,0.7788264152527303
2012-02-16 14:30:00,0.0025544466299575897,0.9595537136958363,0.17602182382074094,0.010342113320080873,0.7855213792046877
2012-02-17 14:30:00,0.004093672539518837,0.9603357316482806,0.1771009148016145,-0.003360377224958374,0.777463800356553
2012-02-21 14:30:00,0.006918457620909528,0.9428003191424548,0.1787806487035819,-0.00393718524588349,0.775894982584461
2012-02-22 14:30:00,-0.0028775809634768923,0.9388514545001011,0.1717720643618288,-0.0035928287190913157,0.7646933682673532
2012-02-23 14:30:00,-0.0006446160535731136,0.9336978509797049,0.17198002724065142,0.004291516693844717,0.7638779107129894
2012-02-24 14:30:00,0.0050385971654172135,0.936546640665543,0.1712110516034283,0.010003682403257294,0.7477362083416152
2012-02-27 14:30:00,0.00029389809684868696,0.9656389615325364,0.17793764559890402,0.0010964378819281844,0.7505777599436261
2012-02-28 14:30:00,-0.0012491769056236124,0.9643844732249668,0.17861594252324609,0.0014220133533033863,0.6835137254553788
2012-02-29 14:30:00,0.00029308954977435697,0.9411821359049583,0.18028236294538535,-0.007068731542698529,0.6902543874472314
2012-03-01 14:30:00,-0.005738706371892305,0.9415311680551286,0.17943298453607814,0.001026584487110238,0.6995752147783252
2012-03-02 14:30:00,-0.007690603602412694,0.9438348465568351,0.17684338064037597,-0.010659834117602776,0.7024654701894137
2012-03-05 14:30:00,-8.637632228113319e-05,0.9451694896974843,0.18269032255990514,-0.004137339987657418,0.7094615437162285
2012-03-06 14:30:00,-0.001015028885060984,0.9697074116276072,0.17121842052405256,-0.017617740359878842,0.7269156006376672
2012-03-07 14:30:00,0.0004501794574121379,0.997651597124466,0.1625651514424693,0.005984390079185313,0.678628271663999
2012-03-08 14:30:00,0.00014796235451614188,0.9242787659833848,0.1661882689105173,0.013924509368010115,0.6949017237548434
2012-03-09 14:30:00,0.003723313906103304,0.9615438063546438,0.16274339411861793,0.008929335824671739,0.6997077247348223
2012-03-12 13:30:00,-0.003906872872101964,0.9926420318356756,0.16149680373719877,-0.004724463066886527,0.6915861740138083
2012-03-13 13:30:00,-0.007057933122373778,0.991484529500087,0.15784631481554223,0.009549854551378282,0.6519689367773461
2012-03-14 13:30:00,0.006359504859314809,0.9523405370943465,0.14638431041679056,0.005293963408705471,0.6443488151854814
2012-03-15 13:30:00,0.0027816778669766643,0.9467224869836788,0.14367422941255859,0.006080561654902302,0.6424660958144676
2012-03-16 13:30:00,0.0028503317386259514,0.9584128207082141,0.14111013309705478,0.002944215410289145,0.6410853858310852
2012-03-19 13:30:00,-0.0003384920817534451,0.9558991266677658,0.13807908965035742,0.0005987787793388932,0.5751839236668714
2012-03-20 13:30:00,-0.0024230899580527637,0.8996465131823348,0.13551017515388208,-0.009425162414864055,0.5858726561252455
2012-03-21 13:30:00,-0.0011045336129522265,0.9170536698353606,0.1370860884998626,-0.0005302016266606572,0.5683122314020287
2012-03-22 13:30:00,-0.0038249039482804717,0.8820410656882259,0.139959566846797,-0.00728580002312403,0.57678721904086
2012-03-23 13:30:00,-0.003274932215548511,0.9047502200098876,0.13764283070261019,0.0001386925158482303,0.578731618344099
2012-03-26 13:30:00,0.004244393557837813,0.8994666767042093,0.13811879042897657,0.023344134291852708,0.5884295145442097
2012-03-27 13:30:00,-0.0034442817333459287,0.899723942675179,0.13732039890861514,-0.002984065656668903,0.5878408415666013
2012-03-28 13:30:00,-0.005110110070130293,0.8872228410954476,0.14278804646118326,-0.005810464420401229,0.5881788110032847
2012-03-29 13:30:00,0.002523291376083085,0.9078855129750627,0.1367903434044514,0.004115527979249227,0.5819856398985822
2012-03-30 13:30:00,-0.0035054917420401155,0.9436832704460455,0.12780890094870556,0.004114899551310873,0.583382452013193
2012-04-02 13:30:00,0.008697461559732032,0.9279919903883284,0.13124179389698531,0.013242680254947606,0.5808217831395743
2012-04-03 13:30:00,0.0023799029642252024,0.9201963711884429,0.14462315697589745,0.00287104682753192,0.5870299500049755
2012-04-04 13:30:00,-0.006399118795581372,0.9172838797754558,0.14503087446686758,-0.014293699565621728,0.6070571747660094
2012-04-05 13:30:00,-0.0007023993736743363,0.9068404248799047,0.16894085688385363,0.0002789001212487596,0.6046622114329968
2012-04-09 13:30:00,-0.008313605410209538,0.9151575693776245,0.1690406933393237,-0.0245772934681943,0.6512287260398709
2012-04-10 13:30:00,0.0009187168413900895,0.9756681569609174,0.17109816304764525,-0.016865219490821575,0.671405270176057
