,resid_gross,resid_net_5bp,resid_net_10bp,turnover,leg_turnover,hedge_turnover,beta_XLU,beta_QQQ,basket
2016-12-30 14:30:00,0.010565682850397,0.010561866423917092,0.010558049997437185,0.007632852959813677,0.007632852959813677,0.0,0.6865647426713998,0.6645614497040236,-5.832816268321513e-05
2017-01-03 14:30:00,0.0007165041888694658,0.000694396964741606,0.000672289740613746,0.04421444825571985,0.01256561864891026,0.03164882960680959,0.6919667034405725,0.6383145808663868,0.004717845886234436
2017-01-04 14:30:00,0.010203946099575353,0.010183577283303033,0.010163208467030711,0.04073763254464228,0.03195947763264099,0.00877815491200129,0.6941376569312238,0.6317073794450367,0.01621772596855971
2017-01-05 14:30:00,-0.008846630950980709,-0.008864127771685305,-0.0088816245923899,0.03499364140919211,0.010014963821745345,0.024978677587446763,0.6930334754788243,0.6555818755800841,-0.004424912794587972
2017-01-06 14:30:00,-0.004185941482443565,-0.0041938303318155255,-0.004201719181187487,0.01577769874392258,0.0060404993727731044,0.009737199371149474,0.6973891541701532,0.6609633962599046,0.003759392333489394
2017-01-09 14:30:00,-0.011387428499016637,-0.011400394238539655,-0.011413359978062674,0.025931479046036467,0.0018773351015406812,0.024054143944495787,0.7029376312677108,0.6424577294129664,-0.018492979274138992
2017-01-10 14:30:00,0.005507576009843836,0.005418988259021488,0.005330400508199141,0.17717550164469562,0.007445948734306226,0.16972955291038938,0.770688041063277,0.5404785862981433,0.004301565510922274
2017-01-11 14:30:00,-0.0056205274612367885,-0.00562856038676396,-0.005636593312291132,0.016065851054342994,0.015216860219958273,0.0008489908343847219,0.7710353127856496,0.5409803054101554,0.003860415327092692
2017-01-12 14:30:00,0.0028559215054295662,0.0028376052774720132,0.00281928904951446,0.036632455915106374,0.018377705265588056,0.018254750649518314,0.7739292708005346,0.5256195127755221,0.0026813647526610826
2017-01-13 14:30:00,0.015606520462886214,0.01558857628928122,0.015570632115676226,0.03588834720998724,0.011753672088901101,0.024134675121086135,0.7735628740328436,0.5493877911289172,0.01637156002641893
2017-01-17 14:30:00,-0.01108517750283393,-0.011110824163559586,-0.011136470824285242,0.0512933214513109,0.02871645554291432,0.02257686590839658,0.7673938862719597,0.5657956692764299,-0.004400339716584452
2017-01-18 14:30:00,0.006192391291995361,0.006160091717921647,0.0061277921438479335,0.06459914814742813,0.00536194919242757,0.05923719895500057,0.7444888777977471,0.6021278597572178,0.006507390536154715
2017-01-19 14:30:00,0.004946819109827715,0.004931827097471764,0.0049168350851158124,0.029984024711903055,0.00815056204215022,0.021833462669752834,0.7365380265629378,0.6160104711921613,-0.0018198684258443991
2017-01-20 14:30:00,0.0012018534375257046,0.0011670841904280727,0.001132314943330441,0.06953849419526363,0.0015056781292172397,0.06803281606604639,0.7209958793619702,0.6685011400572402,0.004006292501294991
2017-01-23 14:30:00,0.003560294517087194,0.003542365799104347,0.0035244370811214998,0.03585743596569443,0.003119505033088184,0.03273793093260624,0.7320573848164843,0.646824714579148,0.00032235468870830025
2017-01-24 14:30:00,0.025131198560085815,0.025101353689225173,0.025071508818364528,0.05968974172128635,0.04653143711426085,0.013158304607025495,0.7282430824962485,0.6561687168659377,0.02939612445632304
2017-01-25 14:30:00,0.0034282114685230645,0.0033918700531243916,0.003355528637725718,0.07268283079734628,0.01867162978268666,0.054011201014659616,0.7093901380512087,0.6913269734355575,0.01038715877290508
2017-01-26 14:30:00,0.0002481237752187495,0.00023650319907626908,0.00022488262293378868,0.02324115228496082,0.005258380954908937,0.017982771330051883,0.7043516839795401,0.7042712906939408,0.0012689979264400852
2017-01-27 14:30:00,-0.011878398845908054,-0.011906330561112023,-0.011934262276315994,0.05586343040793951,0.009294281925189773,0.046569148482749734,0.7245962692217537,0.6779467274534047,-0.010732320068962742
2017-01-30 14:30:00,-0.007627928555282679,-0.007647424471786062,-0.007666920388289445,0.03899183300676552,0.013507923729683197,0.02548390927708233,0.7149977691021357,0.6620613182959403,-0.01219437266093141
2017-01-31 14:30:00,-0.015786438427179944,-0.01580574233012738,-0.015825046233074822,0.03860780589487726,0.012486501035214573,0.026121304859662686,0.6938939721417151,0.6670788261951823,-0.0063765613887768096
2017-02-01 14:30:00,0.010079075940902215,0.010025857382195387,0.009972638823488561,0.10643711741365519,0.027582652919498185,0.078854464494157,0.6578180624689574,0.7098573810165816,0.0036105025144061256
2017-02-02 14:30:00,-0.014874966216284816,-0.014917986956928784,-0.01496100769757275,0.0860414812879338,0.009249369281601177,0.07679211200633262,0.6353634710319778,0.7641949015859346,-0.008840724710785083
2017-02-03 14:30:00,0.016004324055321786,0.01589914675449708,0.01579396945367237,0.21035460164941622,0.01652394572597693,0.1938306559234393,0.5971624672948228,0.919824553772219,0.019380348353497556
2017-02-06 14:30:00,0.00867808807833619,0.008662034815589694,0.008645981552843199,0.03210652549299242,0.018374574703004187,0.013731950789988234,0.5968740579954912,0.9332680952628756,0.008571143833199901
2017-02-07 14:30:00,-0.005547262418680373,-0.005883361295884222,-0.00621946017308807,0.672197754407697,0.005059106896325679,0.6671386475113713,0.8851949867324939,0.5544503764885069,-0.0013437870253476165
2017-02-08 14:30:00,-0.011904784380555112,-0.012066889900171192,-0.012228995419787272,0.3242110392321601,0.008994781071634872,0.31521625816052523,0.9308045081862186,0.8240571131953074,-0.00140154837146933
2017-02-09 14:30:00,0.015591522466188536,0.015573594353460047,0.015555666240731559,0.035856225456976865,0.010818246068222903,0.02503797938875396,0.9200201623521316,0.8383107467499743,0.010818246068222903
2017-02-10 14:30:00,0.006268333665441075,0.00620604366932589,0.006143753673210706,0.12457999223036886,0.025703471629348273,0.09887652060102059,0.887360374748412,0.9045274797472753,0.014876758885348229
2017-02-13 14:30:00,-0.006431572123487321,-0.006495214771924435,-0.006558857420361549,0.12728529687422774,0.014775647955275861,0.11250964891895188,0.8934898510862046,1.0109076523284346,0.003633057867995615
2017-02-14 14:30:00,0.003058084835115603,0.0030155967548723267,0.0029731086746290505,0.08497616048655254,0.006122807812510733,0.07885335267404181,0.8639339963501835,1.0602051502664553,0.00033750229410312027
2017-02-15 14:30:00,-0.004967038229987842,-0.005005000254814903,-0.005042962279641964,0.07592404965412165,0.0023891096024012035,0.07353494005172045,0.845425836550491,1.1152319305184832,-0.0004359470316910678
2017-02-16 14:30:00,-0.011445290228521162,-0.011465368149652584,-0.011485446070784007,0.04015584226284412,0.012083236167301375,0.02807260609554274,0.8532846833843506,1.0950181712568001,-0.003259701248571593
2017-02-17 14:30:00,-0.011589245012986183,-0.011644664991144612,-0.01170008496930304,0.11083995631685677,0.007003681920144259,0.1038362743967125,0.8320734201146083,1.1776431823837703,-0.005983310980378039
2017-02-21 14:30:00,-0.00652866833611305,-0.006554740749802068,-0.006580813163491087,0.052144827378036315,0.025036041347366294,0.027108786030670018,0.8398764393087563,1.1583374155472483,0.007992884518096507
2017-02-22 14:30:00,-0.014919728308730323,-0.014949132582422642,-0.014978536856114959,0.05880854738463681,0.019388622020792723,0.03941992536384409,0.8492249985269384,1.1884087816929103,-0.01090348290246268
2017-02-23 14:30:00,-0.020426393701466025,-0.020440747305453543,-0.02045510090944106,0.028707207975036564,0.01291348791969793,0.015793720055338634,0.8625646424708109,1.1908628578043765,-0.015981444581883997
2017-02-24 14:30:00,-0.0023371972151183685,-0.0023611345658317564,-0.002385071916545144,0.047874701426775454,0.009612674445449148,0.0382620269813263,0.8864649186718361,1.1765011070240754,0.013356466113633317
2017-02-27 14:30:00,-0.0024484292000225482,-0.002469964577405781,-0.002491499954789014,0.04307075476646557,0.021132696777376912,0.021938057989088655,0.8827047518114723,1.1946789981528003,-0.005943201464220486
2017-02-28 14:30:00,-0.014515580289755156,-0.014725062052122087,-0.01493454381448902,0.41896352473386345,0.012251391254308297,0.40671213347955515,1.0746092897411965,1.4094865937026313,-0.00899185621348575
2017-03-01 05:00:00,0.0004052081253193632,4.553808266810708e-06,-0.00039610050878574176,0.8013086341051049,0.060588095491207986,0.7407205386138969,0.5078331146593789,1.5834309572347105,0.031812079056776334
2017-03-01 14:30:00,-0.0027524820021122935,-0.0032840676472461134,-0.003815653292379933,1.0631712902676393,0.05594672464031669,1.0072245656273227,0.04353105481774999,1.0405084514490166,-0.01261370372464643
2017-03-02 14:30:00,-0.006004043519440029,-0.006030656392549698,-0.006057269265659367,0.05322574621933791,0.008246118517488094,0.04497962770184982,0.06825812144258081,1.0607610125260356,-0.010838543888727329
2017-03-03 14:30:00,0.003246116083898254,0.0032337814260312648,0.003221446768164276,0.024669315733978237,0.00883686413360707,0.015832451600371167,0.05908847400131201,1.067423816685138,0.005022354211994373
2017-03-06 14:30:00,-0.0029966991492428622,-0.0030158054284388242,-0.0030349117076347858,0.03821255839192358,0.004252943202657974,0.0339596151892656,0.08450898188313394,1.0588847093776943,-0.005504451315529753
2017-03-07 14:30:00,-0.0021141989704829465,-0.002162512573595995,-0.002210826176709044,0.0966272062260974,0.00035735581810155325,0.09626985040799585,0.11565263669330339,1.1240109049755207,-0.00407360015579646
2017-03-08 14:30:00,-0.004492699942772003,-0.004500354623691835,-0.004508009304611666,0.01530936183966336,0.011347880322455817,0.0039614815172075435,0.11628851370145699,1.1273365094845746,-0.00418011635383142
2017-03-09 14:30:00,-0.01776003429421067,-0.017785453327357308,-0.017810872360503945,0.05083806629327355,0.013965089555916318,0.03687297673735723,0.11233367843686326,1.0944183680118111,-0.017166898641072088
2017-03-10 14:30:00,0.009873867703572788,0.009857244173534185,0.009840620643495583,0.03324706007720565,0.0031255582060774794,0.030121501871128165,0.11754059196319688,1.1193329563566057,0.015555743653708895
2017-03-13 13:30:00,0.012783120212031918,0.012611666257790661,0.012440212303549403,0.34290790848251457,0.0181080231111043,0.32479988537141025,0.21539427675066558,1.3462791569405472,0.01567164663885297
2017-03-14 13:30:00,-0.005649456122637916,-0.005669649916122902,-0.005689843709607889,0.04038758696997254,0.00609923453426094,0.0342883524357116,0.2395889519864487,1.3563728341404757,-0.009182133478009632
2017-03-15 13:30:00,0.0009403671147716567,0.0009208416367584807,0.0009013161587453048,0.03905095602635193,0.016722262268158244,0.022328693758193685,0.22971166531536347,1.3688242412275842,0.013074243937608773
2017-03-16 13:30:00,-0.0005928847234626718,-0.0006037797507573115,-0.000614674778051951,0.02179005458927926,0.004667108922816262,0.017122945666462996,0.2286207177282289,1.3848562393069126,-0.004047777826722239
2017-03-17 13:30:00,-0.004775170192319692,-0.004784399861295432,-0.004793629530271172,0.01845933795148032,0.0024925807355639833,0.01596675721591634,0.2333357176055586,1.3961079966454992,-0.0038558267611982964
2017-03-20 13:30:00,0.0018379029447621671,0.0018306527134930924,0.0018234024822240177,0.014500462538149517,0.005896677509056536,0.00860378502909298,0.2268765656133409,1.393963363608624,0.0016021370392955703
2017-03-21 13:30:00,-0.003086640187715182,-0.0031039711006805976,-0.0031213020136460134,0.034661825930831745,0.010998571618429728,0.023663254312402016,0.21297173732453545,1.3842049375850274,-0.021076604092935696
2017-03-22 13:30:00,-0.007406185275524724,-0.0074280591325112085,-0.007449932989497693,0.04374771397296984,0.012509525322186299,0.031238188650783538,0.2055310711530811,1.4080024600643566,0.003134774032769183
2017-03-23 13:30:00,0.003800398358050088,0.003783578369467644,0.0037667583808852,0.03363997716488787,0.007251983366340253,0.026387993798547615,0.1990535584363804,1.3880919789825097,-0.00031935608782918123
2017-03-24 13:30:00,-0.004491027591449439,-0.004516749449766597,-0.004542471308083754,0.05144371663431535,0.007248194854799106,0.044195521779516245,0.19208595416229168,1.3508640614770822,-0.0009869271422620063
2017-03-27 13:30:00,-0.0024847809489913055,-0.002503213266354384,-0.002521645583717463,0.036864634726157454,0.004225874084680595,0.03263876064147686,0.20314950164561618,1.3724392746352345,-0.0010612365108289372
2017-03-28 13:30:00,0.0001171564420039406,8.437438058213218e-05,5.159231916032374e-05,0.06556412284361686,0.005415505215731716,0.06014861762788515,0.15854915774596057,1.387987548363464,0.008481365460924964
2017-03-29 13:30:00,0.005917610921666968,0.005811571874677806,0.0057055328276886435,0.21207809397832444,0.009525752096386952,0.2025523418819375,0.20904743563927042,1.5400416123520917,0.012486899266475726
2017-03-30 13:30:00,0.004311122355353312,0.004279301181676986,0.0042474800080006606,0.063642347352651,0.0054744551887958934,0.058167892163855095,0.19725225403415192,1.5864143229108283,0.0054187776109613965
2017-03-31 13:30:00,0.0004846491298838909,0.0004559121065446588,0.0004271750832054266,0.057474046678464265,0.0011332639050936437,0.05634078277337062,0.17075740155174635,1.5565683926198632,9.481507735405643e-05
2017-04-03 13:30:00,-0.003597575895199476,-0.003632350253487514,-0.003667124611775551,0.06954871657607509,0.032150115972573445,0.03739860060350164,0.17623923319747292,1.5884851615776383,-0.004591390788531768
