start,end,n,ir,mean_daily,ann_vol,label
2016-01-01,2016-12-31,1,,0.010565682850397,,2016
2017-01-01,2017-12-31,255,0.06868510078727359,4.839487034246876e-05,0.1775568090679979,2017
2018-01-01,2018-12-31,255,-0.050610510217550926,-3.1940715149256826e-05,0.15903930197529276,2018
2019-01-01,2019-12-31,256,0.4587605167680175,0.0004104950729340976,0.2254874920539462,2019
2020-01-01,2020-12-31,257,0.048010425264079865,6.876331658943237e-05,0.36092902083709677,2020
2021-01-01,2021-12-31,256,0.9742944013246154,0.0009428539626073314,0.24386797076326855,2021
2022-01-01,2022-12-31,255,1.526992402946111,0.0013414862556692887,0.22138586660708556,2022
2023-01-01,2023-12-31,254,1.2917640707175764,0.0014951312468231112,0.29167328828872463,2023
2024-01-01,2024-12-31,256,0.5257431083341603,0.00082673645019113,0.39627259424910277,2024
2025-01-01,2025-12-31,254,-0.010712842159722812,-1.4281418104992513e-05,0.335944216184665,2025
2026-01-01,2026-12-31,163,0.587696639457952,0.0006935516920466629,0.29738986861820177,2026
