date,ir_2y
2018-12-20 14:30:00,-0.014902556536120229
2018-12-21 14:30:00,-0.07201380833183987
2018-12-24 14:30:00,-0.08448101038481072
2018-12-26 14:30:00,-0.10682171695685527
2018-12-27 14:30:00,-0.026439804991406832
2018-12-28 14:30:00,0.009113317910290498
2018-12-31 14:30:00,0.030827516330856078
2019-01-02 14:30:00,0.03608945647220909
2019-01-03 14:30:00,0.02090047839864678
2019-01-04 14:30:00,0.017468934419302282
2019-01-07 14:30:00,0.01830849547736948
2019-01-08 14:30:00,0.05593018998574425
2019-01-09 14:30:00,0.02639877998797177
2019-01-10 14:30:00,0.006037730657865556
2019-01-11 14:30:00,0.06418586488068558
2019-01-14 14:30:00,0.04464665848564701
2019-01-15 14:30:00,-0.023100023769736504
2019-01-16 14:30:00,-0.07527592323242394
2019-01-17 14:30:00,-0.051250415041148696
2019-01-18 14:30:00,0.015332039397135722
2019-01-22 14:30:00,0.045654166604060194
2019-01-23 14:30:00,0.10817595458859587
2019-01-24 14:30:00,0.08290239355195621
2019-01-25 14:30:00,0.12226961309271472
2019-01-28 14:30:00,0.10565883422900446
2019-01-29 14:30:00,0.07322037222158465
2019-01-30 14:30:00,0.13963291043706907
2019-01-31 14:30:00,0.17313626543430713
2019-02-01 14:30:00,0.14996416196776555
2019-02-04 14:30:00,0.11790320990045457
2019-02-05 14:30:00,0.1447014665865989
2019-02-06 14:30:00,0.10809005769369738
2019-02-07 14:30:00,0.13195480118811317
2019-02-08 14:30:00,0.17234300942755923
2019-02-11 14:30:00,0.21065866470031155
2019-02-12 14:30:00,0.2450629149356532
2019-02-13 14:30:00,0.30772814776594903
2019-02-14 14:30:00,0.38263628438299524
2019-02-15 14:30:00,0.38432837395666897
2019-02-19 14:30:00,0.4195819505787585
2019-02-20 14:30:00,0.4604455380178909
2019-02-21 14:30:00,0.4967595001021177
2019-02-22 14:30:00,0.5002999359939477
2019-02-25 14:30:00,0.5297291348969062
2019-02-26 14:30:00,0.5078815842152417
2019-02-27 14:30:00,0.4814185452416126
2019-02-28 14:30:00,0.4871901343274431
2019-03-01 05:00:00,0.4775797404170768
2019-03-01 14:30:00,0.4628008890652527
2019-03-04 14:30:00,0.5200777218239507
2019-03-05 14:30:00,0.4524816451499235
2019-03-06 14:30:00,0.45869415905145644
2019-03-07 14:30:00,0.4517099497303571
2019-03-08 14:30:00,0.44360033238791996
2019-03-11 13:30:00,0.46614495238443354
2019-03-12 13:30:00,0.4591702155073874
2019-03-13 13:30:00,0.491445502516277
2019-03-14 13:30:00,0.5200015449837923
2019-03-15 13:30:00,0.5112547149353472
2019-03-18 13:30:00,0.5166336898567392
2019-03-19 13:30:00,0.5477312507001603
2019-03-20 13:30:00,0.5343877279023392
2019-03-21 13:30:00,0.49396692129831177
2019-03-22 13:30:00,0.4937675066005738
2019-03-25 13:30:00,0.46272738179075046
2019-03-26 13:30:00,0.48591837660482634
2019-03-27 13:30:00,0.4821141653894633
2019-03-28 13:30:00,0.5008536866882087
2019-03-29 13:30:00,0.5037201751633501
2019-04-01 13:30:00,0.5220817325113832
2019-04-02 13:30:00,0.5332942844266576
2019-04-03 13:30:00,0.5389607911645361
2019-04-04 13:30:00,0.5595732560454143
2019-04-05 13:30:00,0.565638756145324
2019-04-08 13:30:00,0.5913631617461911
2019-04-09 13:30:00,0.5817821304092392
2019-04-10 13:30:00,0.5628435777622305
2019-04-11 13:30:00,0.6222828377736053
2019-04-12 13:30:00,0.6819965832197301
2019-04-15 13:30:00,0.698239634740265
2019-04-16 13:30:00,0.7062310831302498
2019-04-17 13:30:00,0.6682477875952726
2019-04-18 13:30:00,0.7154161197319556
2019-04-22 13:30:00,0.791061628340158
2019-04-23 13:30:00,0.8096798139977657
2019-04-24 13:30:00,0.8500061206352609
2019-04-25 13:30:00,0.8535233998389541
2019-04-26 13:30:00,0.8481533314868327
2019-04-29 13:30:00,0.8551166661693348
2019-04-30 13:30:00,0.8648216143154493
2019-05-01 13:30:00,0.8921050294176787
2019-05-02 13:30:00,0.8872337261815806
2019-05-03 13:30:00,0.8666882453798179
2019-05-06 13:30:00,0.8515227455943747
2019-05-07 13:30:00,0.8346006890669689
2019-05-08 13:30:00,0.8718293972561377
2019-05-09 13:30:00,0.777425020958651
2019-05-10 13:30:00,0.8128679177409214
2019-05-13 13:30:00,0.7924021144289701
2019-05-14 13:30:00,0.7708118870601673
2019-05-15 13:30:00,0.7686816939893623
2019-05-16 13:30:00,0.7774352135381027
2019-05-17 13:30:00,0.8344510840206678
2019-05-20 13:30:00,0.8152960638305925
2019-05-21 13:30:00,0.8555564301796298
2019-05-22 13:30:00,0.9212581966676847
2019-05-23 13:30:00,0.7150351283175358
2019-05-24 13:30:00,0.7509887041847519
2019-05-28 13:30:00,0.7464466026187317
2019-05-29 13:30:00,0.7432304608858017
2019-05-30 13:30:00,0.7255258746695292
2019-05-31 13:30:00,0.6941918822455464
2019-06-01 04:00:00,0.6987913767514382
2019-06-03 13:30:00,0.6271262674123352
2019-06-04 13:30:00,0.7110694334742971
2019-06-05 13:30:00,0.723790663112335
2019-06-06 13:30:00,0.7206896423428026
2019-06-07 13:30:00,0.6936044469254297
2019-06-10 13:30:00,0.6335363876230425
2019-06-11 13:30:00,0.5868523517479445
2019-06-12 13:30:00,0.6336083366700752
2019-06-13 13:30:00,0.6798504793321952
2019-06-14 13:30:00,0.7031943371102514
2019-06-17 13:30:00,0.6638465236412564
