world,r,T,ll_m0,ll_m1,ll_m2,d10,d21,d20,g1,g2,label
A,34,1500,-410.55606032955217,-322.2778156015258,-324.92157810998293,88.27824472802638,-2.6437625084571437,85.63448221956924,True,False,M1_sufficient
A,35,1500,-412.93319750304335,-327.22464430169066,-329.96277167646434,85.70855320135269,-2.7381273747736827,82.970425826579,True,False,M1_sufficient
A,36,1500,-414.8285369166306,-303.262111710315,-310.8638608107146,111.56642520631556,-7.601749100399559,103.964676105916,True,False,M1_sufficient
A,37,1500,-411.3693940682859,-336.6719240826658,-337.9142803072828,74.6974699856201,-1.2423562246170263,73.45511376100308,True,False,M1_sufficient
A,38,1500,-414.44045458191704,-293.09849615857,-295.6099988752465,121.34195842334702,-2.511502716676489,118.83045570667053,True,False,M1_sufficient
A,39,1500,-416.46811336782815,-295.4774562539397,-298.9116118654845,120.99065711388846,-3.4341556115447816,117.55650150234368,True,False,M1_sufficient
A,40,1500,-410.80343441367785,-317.5295192177004,-322.1576549176971,93.27391519597745,-4.628135699996676,88.64577949598078,True,False,M1_sufficient
A,41,1500,-411.20731185890713,-305.4166159423718,-307.07901576626097,105.79069591653536,-1.6623998238891886,104.12829609264617,True,False,M1_sufficient
A,42,1500,-409.3345997313616,-293.1112646451952,-294.60269816587896,116.2233350861664,-1.4914335206837563,114.73190156548264,True,False,M1_sufficient
A,43,1500,-414.48181105127867,-308.5426430071817,-312.2663085202269,105.93916804409696,-3.723665513045205,102.21550253105175,True,False,M1_sufficient
A,44,1500,-414.94129561842476,-307.8841860994176,-315.8642317310888,107.05710951900716,-7.980045631671203,99.07706388733595,True,False,M1_sufficient
A,45,1500,-411.56091154021226,-318.9723216339649,-327.16975216970104,92.58858990624736,-8.197430535736146,84.39115937051122,True,False,M1_sufficient
A,46,1500,-409.4761839277383,-305.30165571480444,-304.2279734193894,104.17452821293386,1.0736822954150398,105.2482105083489,True,False,M1_sufficient
A,47,1500,-410.2291430589273,-328.59631585704005,-332.5937719542725,81.63282720188727,-3.99745609723243,77.63537110465484,True,False,M1_sufficient
A,48,1500,-412.332858002898,-302.8011636312569,-305.65190439375516,109.5316943716411,-2.850740762498276,106.68095360914282,True,False,M1_sufficient
A,49,1500,-415.1188966725358,-301.8932591505826,-305.3506086159086,113.22563752195322,-3.45734946532599,109.76828805662723,True,False,M1_sufficient
A,50,1500,-413.18402727400303,-299.93810466416846,-306.97960274946723,113.24592260983457,-7.04149808529877,106.2044245245358,True,False,M1_sufficient
A,51,1500,-421.70069970202695,-302.9582851257773,-302.65312701527307,118.74241457624964,0.30515811050423736,119.04757268675388,True,False,M1_sufficient
A,52,1500,-412.5819182839871,-325.7402715551505,-329.787715681989,86.84164672883657,-4.0474441268385135,82.79420260199805,True,False,M1_sufficient
