Date,MAGS,SMH,SPMO,VOO,QQQ,basket,alpha,beta_voo,beta_qqq,factor_clean_resid,cum_clean_resid
2020-01-06,0.013482065170813406,-0.010680770451400368,0.0007380377957195705,0.0037470574628186704,0.006443047291024184,0.0011797775050442032,,,,,
2020-01-07,0.005630000993013917,0.01669144768580444,-0.005707664197937556,-0.0027579187220012624,-0.00013875555022213604,0.0055379281602936,,,,,
2020-01-08,0.013220308692649452,0.001676635206108834,0.005022691461532336,0.0051596410873591125,0.007516122918736379,0.0066398784534302075,,,,,
2020-01-09,0.007482807975332406,0.005719071553503152,0.010233295242074059,0.006911114143998587,0.008473499920071959,0.007811724923636539,,,,,
2020-01-10,-0.0010993521501286851,-0.008321662294213827,-0.0012013716680548958,-0.002865098604028282,-0.0025572792997611282,-0.003540795370799136,,,,,
2020-01-13,0.02745073237459117,0.013986007016314472,0.007287869945553416,0.0066160247413127315,0.011537006865631305,0.016241536445486354,,,,,
2020-01-14,-0.006467501945011334,0.0020688279837735024,-0.002013611770167789,-0.0013278670883993815,-0.003937728083698633,-0.0021374285771352066,,,,,
2020-01-15,-0.004176676943982716,-0.01479695291779537,0.009337820256373197,0.002227369195376916,0.0004093018030020268,-0.0032119365351349627,,,,,
2020-01-16,0.0076913175426285285,0.016137164961865347,0.00778686305404408,0.00835791330136959,0.009583160280953074,0.010538448519512652,,,,,
2020-01-17,0.003875037768495959,0.004124679479188931,0.00625096966139016,0.0033875368695712726,0.004948580288854032,0.004750228969691683,,,,,
2020-01-21,0.00992439203647466,0.0008215039083505626,0.0014669346162130559,-0.0020649708792087607,-0.00044746215304636294,0.004070943520346093,,,,,
2020-01-22,0.006647178553540467,0.008209162590233632,0.0029982570060143043,0.0002628346797450831,0.00264238697658592,0.005951532716596135,,,,,
2020-01-23,0.0026543392793458853,0.006242395921296495,4.596470956630405e-05,0.0009850952768046817,0.0032162896368435057,0.0029808999700695615,,,,,
2020-01-24,-0.009742348666950007,-0.0043831253252212266,-0.004929021418943802,-0.009120190415672469,-0.008415534194913588,-0.006351498470371679,,,,,
2020-01-27,-0.022096157837749764,-0.040297919331014675,-0.00942544374109644,-0.01589249858140429,-0.020655501567874435,-0.02393984030328696,,,,,
2020-01-28,0.019495797184375663,0.025052846975387233,0.008056336351568882,0.010833380799584846,0.015359704295986099,0.017534993503777258,,,,,
2020-01-29,0.011913665126249251,-0.015215033986475168,-0.001262950816466435,-0.0009986304050088046,0.0016258620504541188,-0.0015214398922307841,,,,,
2020-01-30,0.010655913446435239,-0.0023070817856563064,0.009634964292266845,0.0031313938686905463,0.0035616576382409004,0.005994598651015259,,,,,
2020-01-31,-0.008480768933889826,-0.036017063879915434,-0.01680811187269815,-0.017934470102411004,-0.015858035322266706,-0.020435314895501138,,,,,
2020-02-03,0.04012709569954165,0.013665613547094502,0.010331299164995311,0.007270964559571658,0.015109288814868727,0.02137466947054382,,,,,
2020-02-04,0.03667227330218137,0.032197991306305074,0.011624311794335762,0.015411181960422349,0.02288890032492441,0.026831525467607403,,,,,
2020-02-05,-0.021877280786475328,0.01986939811022781,-2.2639475172225865e-05,0.011308432463904783,0.0032969473378268166,-0.0006768407171399149,,,,,
2020-02-06,0.013578473677441805,0.0006812255846970761,0.005099564449317917,0.0034002177923020405,0.008632141665274817,0.006453087903818933,,,,,
2020-02-07,-7.305473055740919e-05,-0.022872842960588446,-0.0035633077251653322,-0.005083207420694791,-0.004300995451732237,-0.008836401805437063,,,,,
2020-02-10,0.022407833427407375,0.015744806902322717,0.009572667595105111,0.0071726528253843735,0.012085761325854039,0.015908435974945068,,,,,
2020-02-11,-0.003512531531773777,0.021125005145592235,-0.0007171647956603078,0.0018209186081057371,0.00017226121578706177,0.005631769606052717,,,,,
2020-02-12,0.00865676356000189,0.014105125776413097,0.0033644153295238066,0.006426833882323457,0.009740954462006401,0.008708768221979598,,,,,
2020-02-13,0.00457177947224463,0.0023844104261239174,0.002302968598095978,-0.0009674623873267008,-0.0012807299233627,0.0030863861654881752,,,,,
2020-02-14,0.01083875972197057,-0.004294976553734897,0.006245514132878327,0.0016787033383098837,0.002863709616010679,0.004263099100371333,,,,,
2020-02-18,0.016471468584991822,-0.014997635486616812,0.0009309897812552759,-0.0027396687822071053,0.0003837009510447853,0.0008016076265434288,,,,,
2020-02-19,0.02232424774461328,0.02573608605239719,0.0013285929263442409,0.004815462108171076,0.009585468173646028,0.01646297557445157,,,,,
2020-02-20,-0.01295181969629522,-0.01576354003464242,-0.004091497132294064,-0.003923536628120172,-0.009283567963641048,-0.010935618954410567,,,,,
2020-02-21,-0.024144940825179817,-0.029362683229456565,-0.008660827443500385,-0.010365287329118456,-0.01920932096536665,-0.020722817166045588,,,,,
2020-02-24,-0.05216361832520988,-0.04530764279449284,-0.026455994991891885,-0.03344291545809397,-0.03856362337385144,-0.04130908537053154,,,,,
2020-02-25,-0.027656191510750938,-0.028805978013075162,-0.026668691389639343,-0.03004336131861951,-0.02719186417728392,-0.027710286971155147,,,,,
2020-02-26,0.00456994611653716,0.0060061699778160005,-0.003877242182413032,-0.00441981910153999,0.005154086816751002,0.0022329579706467095,,,,,
2020-02-27,-0.06569523181495451,-0.04606760065248661,-0.04855715685237183,-0.04432483267405751,-0.050074021594433527,-0.05343999643993765,,,,,
2020-02-28,0.015585186710102672,0.019703266549432774,-0.012471969673993,-0.006035004055630511,0.0007783489798329768,0.007605494528514149,,,,,
2020-03-02,0.055635681572895335,0.0346289970594269,0.05531712433018443,0.04463816580575353,0.05160342037751464,0.04852726765416889,,,,,
2020-03-03,-0.03243419631616773,-0.03281079237309714,-0.02465301203048409,-0.027583486851696426,-0.0320675315007628,-0.02996600023991632,,,,,
2020-03-04,0.036839080779719646,0.051264482245013676,0.04466233924498475,0.041443379937117664,0.04172262209481992,0.04425530075657269,,,,,
2020-03-05,-0.03417596940670997,-0.031405291640445476,-0.025910029437532733,-0.03349776943276328,-0.030382333412772966,-0.030497096828229393,,,,,
2020-03-06,-0.02079507311884843,-0.019260731503036976,-0.010297397439200884,-0.01677164915957685,-0.016872206484458196,-0.01678440068702876,,,,,
2020-03-09,-0.07693990870994816,-0.08318162935862616,-0.055019722044907904,-0.07716256498046625,-0.0694642727606889,-0.07171375337116075,,,,,
2020-03-10,0.05946997566011425,0.06161599446037114,0.035893094282499094,0.05132081932635946,0.05445034795308068,0.052326354800994825,,,,,
2020-03-11,-0.040816875928608165,-0.053988795670952605,-0.04375934216485089,-0.04958099200131805,-0.0435548714810563,-0.046188337921470556,,,,,
2020-03-12,-0.09800492318623011,-0.10557512061971275,-0.08480849190035744,-0.09671795492036062,-0.09169136984288229,-0.0961295119021001,,,,,
2020-03-13,0.08713402980231777,0.09695217027044278,0.06834848406689797,0.09343013011216073,0.08470548419951918,0.08414489471321951,,,,,
2020-03-16,-0.1369864162888894,-0.1441161677519035,-0.15353681075845227,-0.11738804556045956,-0.1197875517747572,-0.14487979826641506,,,,,
2020-03-17,0.047824758688761904,0.081004287365124,0.10209447173752739,0.06547062167253981,0.07584126044018302,0.0769745059304711,,,,,
2020-03-18,-0.045952155453511945,-0.08309892379444062,-0.026255732570252488,-0.05466308757438887,-0.030416085597237852,-0.051768937272735016,,,,,
2020-03-19,0.04732798614335709,0.017710484947403904,-0.001992977065585322,0.0008632362794942505,0.006002236859572019,0.021015164675058557,,,,,
2020-03-20,-0.030717699313287494,-0.017499582393879942,-0.050158485164479405,-0.04356903454337102,-0.03917593138067055,-0.03279192229054895,,,,,
2020-03-23,0.003570244072417461,0.037106712658670826,-0.0346873714670467,-0.030701582512292824,0.0007219604490102949,0.0019965284213471954,,,,,
2020-03-24,0.10059159316540289,0.1032343090212764,0.09315112087163979,0.09536383485271327,0.07743779543647467,0.0989923410194397,,,,,
2020-03-25,-0.006324157208784098,-0.007523883322185343,0.01381462493419261,0.012826955456773925,-0.007405085339119544,-1.1138532258943753e-05,,,,,
2020-03-26,0.04001996652848616,0.060648267261852684,0.05990875281753283,0.060100664845932794,0.05266037518122646,0.05352566220262389,,,,,
2020-03-27,-0.034261719737801344,-0.05529078491038042,-0.02442395824670518,-0.030719371124868444,-0.0343928666744584,-0.037992154298295645,,,,,
2020-03-30,0.035782971908078,0.039220683195354766,0.039281142696689475,0.03233728231201183,0.036373289629800354,0.038094932600040744,,,,,
2020-03-31,0.004259186634764767,-0.019748801007774985,-0.026305990772045207,-0.01485085617113513,-0.008539690237323039,-0.013931868381685142,,,,,
2020-04-01,-0.05188955234096837,-0.04959881586058967,-0.040871999613745214,-0.045055404668498666,-0.04248945400050175,-0.04745345593843442,0.0005654694403997916,0.1779379765922115,0.9098357074125225,-0.0013434353994599343,-0.0013434353994599343
2020-04-02,0.006100196814632364,0.026946901833507342,0.02903647360693018,0.02339140565170217,0.020295042721131695,0.020694524085023296,0.0006415333166790616,0.17607005445183824,0.9131240507696647,-0.002597426918519174,-0.003940862317979108
2020-04-03,-0.009449050486850075,-0.020029760416595987,-0.012941050450036573,-0.014776807196672626,-0.014192884144974216,-0.014139953784494211,0.0005024482083844857,0.17450621353218665,0.9138370693132076,0.0009062263312529378,-0.0030346359867261703
2020-04-06,0.0773966112127531,0.0994287813413024,0.0696574516329116,0.06802053575185929,0.07149487832518098,0.08216094806232237,0.0005446515909685533,0.1743560269493539,0.9140533181145323,0.004406375345366725,0.001371739358640555
2020-04-07,0.0036589122194283785,-0.0030849728659558817,-0.010658176728575053,0.0005335123606411418,-0.0004073372876713943,-0.0033614124583675187,0.0006448594010856042,0.1706604640460202,0.9219408575366983,-0.0037217804381919897,-0.0023500410795514346
2020-04-08,0.02013919227034311,0.033143332220863186,0.03485076944809795,0.033940722788603495,0.021232209381305545,0.02937776464643475,0.000601685101738733,0.16846090312707815,0.9241149114550329,0.0034373934385421787,0.001087352358990744
2020-04-09,0.005865866489909166,-0.0236462426979428,0.01824361984144285,0.014845374752796792,0.0014457380968904143,0.00015441454446973868,0.0006162118999089991,0.18549141015829754,0.9071304743503459,-0.004526959938282493,-0.003439607579291749
2020-04-13,0.03525446834713919,0.013078228257328961,-0.01720148632332741,-0.00970000788554748,0.010803718985974653,0.01037707009371358,0.0005034339848706887,0.1673122517631515,0.9255540864045939,0.001497140014458432,-0.001942467564833317
2020-04-14,0.05145423621047307,0.043748579542407295,0.034276585187879904,0.03053055134967253,0.04349097283085035,0.04315980031358676,0.000598080378693094,0.16391930228058468,0.929265629304972,-0.002857492977331809,-0.004799960542165126
2020-04-15,-0.000686171773923383,-0.02695082681930805,-0.02278090507195074,-0.021769108380135127,-0.011469548981668853,-0.016805967888394058,0.0005687687012124484,0.17166664645707852,0.9199950277460021,-0.003085778724003457,-0.007885739266168583
2020-04-16,0.02114027752458414,0.026520313391217742,0.01121893542709862,0.005053810950189863,0.018239872540212865,0.019626508780966834,0.0005440262233373051,0.17758978440513493,0.9144843547214727,0.0015048992904225268,-0.006380839975746056
2020-04-17,0.0027358721704848765,0.009783829773224229,0.024808674632477823,0.027598909473189437,0.009566327760485382,0.01244279219206231,0.0004891795933955364,0.1734655772253718,0.9189892735608751,-0.0016252007631445096,-0.008006040738890566
2020-04-20,-0.011470473926927904,-0.021194566900903378,-0.02048413780635261,-0.018018859572689228,-0.011844655472251886,-0.017716392878061298,0.0004023564609414445,0.16745032566667611,0.9247888718542594,-0.0041476798637276255,-0.012153720602618191
2020-04-21,-0.045889667701216386,-0.04477615687357961,-0.028643581160942344,-0.03055702816362127,-0.0368993681780031,-0.03976980191191278,0.00034881502621568364,0.1710263573254944,0.9217749302056004,-0.0008796471937022113,-0.013033367796320403
2020-04-22,0.04445258478743086,0.05650910114221408,0.028235722201369606,0.021996532381900247,0.02967450518753245,0.043065802710338184,0.00028783743296357904,0.16908953484150085,0.9243379534646685,0.011629310453672645,-0.0014040573426477576
2020-04-23,-0.0026622788133962016,-0.009195337440361162,-0.010176918895119846,-0.00019489420210605513,-0.0021331140541271942,-0.007344845049625737,0.0005022122731471996,0.15829201887377478,0.9386053602111735,-0.005814054840909203,-0.007218112183556961
2020-04-24,0.01855473548860931,0.02018560740411246,0.008179153886249235,0.014507584003225382,0.015770341749842487,0.015639832259657,0.00038396875464393994,0.1545770595178714,0.9423216954073653,-0.001847411345779159,-0.009065523529336119
2020-04-27,0.013283897309159798,0.012356732599893672,0.014089504566575428,0.014453646680325338,0.008043525245467809,0.013243378158542965,0.000406694201929588,0.15383638477546682,0.942787538096211,0.003029851840700884,-0.006035671688635235
2020-04-28,-0.025367780728739686,-0.006664457019799008,-0.009254226562846246,-0.004623178224401059,-0.01883465752499902,-0.013762154770461646,0.00043482071537487966,0.15818517727748896,0.9386140739783471,0.004212817412702045,-0.00182285427593319
2020-04-29,0.04554525956838873,0.04696550315850101,0.02040230646331942,0.025772971492372454,0.035461019957517825,0.03763768973006972,0.0005731984978611795,0.1701035157515148,0.9251294700642426,-0.00012561643124357064,-0.0019484707071767606
2020-04-30,0.012482881724856343,-0.03708228847488826,-0.007318033618908815,-0.00872149835011582,-0.0004110233412292219,-0.01063914678964691,0.00048781712527090333,0.17713355298646716,0.9170995391243073,-0.009205144607985535,-0.011153615315162296
2020-05-01,-0.04103382814185419,-0.047109856467693056,-0.02129133026825525,-0.02725559298034086,-0.0281851367006839,-0.03647833829260083,0.0003108795969066723,0.19215633875559174,0.901393439897364,-0.006145985607185697,-0.017299600922347995
2020-05-04,0.026598543829314814,0.011064896566555182,0.010392134822931887,0.003156211493579475,0.011657417326752073,0.01601852507293396,0.00032341004929172554,0.20030744521908111,0.8954430094579332,0.004624349509218299,-0.012675251413129696
2020-05-05,0.010388817801525008,0.013039447561448814,0.014480010538101773,0.009207878466600317,0.011337153392940724,0.012636091967025198,0.0004271600712392777,0.192597002654524,0.9040366060103187,0.00018632042713906394,-0.012488930985990632
2020-05-06,0.010170625410323986,0.011722436095879862,-0.005106299321229524,-0.0067290274861888655,0.006156582049815951,0.005595587394991441,0.0005044487498282439,0.19320276202991546,0.9032424674875892,0.0008303189793045463,-0.011658612006686084
2020-05-07,0.010677784613872143,0.009087341904523427,0.008788489854740567,0.011826829554974383,0.012876781326843112,0.009517872124378712,0.0004667628154998303,0.19334913114112862,0.902720047229683,-0.004859726557263751,-0.016518338563949835
2020-05-08,0.018060356319303583,0.02551587705278857,0.015239324498063311,0.016719315354998487,0.013704576796428114,0.01960518595671849,0.00030222372379705485,0.18988010164278227,0.905471067978991,0.003719199145854727,-0.012799139418095108
2020-05-11,0.01135952973550447,0.0005123356304805871,0.006331853013797684,0.0001491477277144604,0.008939243196034674,0.006067906126594247,0.00039558704106463344,0.19250276965159446,0.9036013997460851,-0.00243390492975026,-0.015233044347845368
2020-05-12,-0.01790002681755687,-0.027501381242666656,-0.019556288436556435,-0.020125037802191215,-0.020937218949349856,-0.021652565498926652,0.000290645648395659,0.19410598655723862,0.901825564599857,0.0008448984699219939,-0.014388145877923374
2020-05-13,-0.01307761359601245,-0.017749737497046225,-0.01226532552697035,-0.017729300077338195,-0.012515677531033331,-0.014364225540009675,0.00028745943407870213,0.1943952305271286,0.9013002088487795,7.518917413473769e-05,-0.014312956703788637
2020-05-14,0.011688901407140184,0.028024325010071793,0.008654870968654693,0.012058582552503472,0.01135192563119336,0.016122699128622225,0.0002772487211080811,0.19452231526353897,0.901156732285726,0.003269922803647865,-0.011043033900140772
2020-05-15,0.01445307558567599,-0.02279149100998723,0.006267455738284022,0.0045064257536528984,0.0064916206940979215,-0.0006903198953424061,0.0002300615505567556,0.1996798564063032,0.8956791273216964,-0.007634633051487331,-0.0186776669516281
2020-05-18,0.015484595673989299,0.04306414198603714,0.028175742036627316,0.03056550421851978,0.0186320482876996,0.028908159898884584,0.00014263537719680472,0.20270394402409644,0.8918634922854659,0.005952532611209465,-0.012725134340418637
2020-05-19,0.0008200217426361789,-0.003726795761038848,-0.007115164961326914,-0.009443619861461694,-0.002506241610537585,-0.0033406463265765276,0.000299571105900194,0.22049352886861542,0.8747865017382432,0.0006344659670637072,-0.01209066837335493
2020-05-20,0.02383400083548448,0.03623297149415983,0.00968412687770881,0.016311688052957907,0.019968327106775874,0.02325036640245104,0.00031899277427364773,0.22060494659301572,0.8744175906195402,0.0018722780790028648,-0.010218390294352064
2020-05-21,-0.00606393494825852,-0.025339733315638213,-0.01064652208892125,-0.0071824663774813224,-0.01089063450684169,-0.014016730117605994,0.00030748571896808545,0.22020964415685354,0.8760127224879501,-0.0032022330874607492,-0.013420623381812814
2020-05-22,0.005474359196465883,0.0021060524425804417,0.006277417808138841,0.002251896777400564,0.0034514298430299295,0.004619276482395056,0.0002703622709651005,0.2146107740923197,0.8822009985788307,0.0008207780468102392,-0.012599845335002574
2020-05-26,-0.008719223662157272,0.008623633879781378,0.002914234010676253,0.012852287619039116,-0.002699470044085217,0.0009395480761001199,0.00028467819482291324,0.2147423006216435,0.882061866922303,0.00027603965650032,-0.012323805678502255
2020-05-27,-0.0047746620402049356,0.015088511927355386,0.007469007657268323,0.014579311146299512,0.005457474370525572,0.005927619181472925,0.00016922742747127863,0.22301435318531362,0.873821239244061,-0.0022618609087731298,-0.014585666587275385
2020-05-28,-0.006461749574881215,-0.021376154614653142,0.008867395701951608,-0.001971261340069641,-0.0013026350302500767,-0.00632350282919425,0.0002213151586984064,0.21117399248026547,0.889886023187663,-0.0049693421537539695,-0.019555008741029355
2020-05-29,0.016792114874142783,0.020034874334194264,0.009758289956794508,0.004488802843646722,0.014652748726286635,0.015528426388377184,5.7151044579899365e-05,0.20579571976293493,0.8973913314570278,0.0013982492427274673,-0.018156759498301887
2020-06-01,0.017250215730211682,-0.001489047009913702,0.0014974761594934716,0.004360880814741952,0.0029996987219915727,0.0057528816265971505,0.00010488722732454538,0.2037487333883235,0.9006068095068516,0.0020579213613168817,-0.016098838136985004
2020-06-02,0.0012828113124780938,0.019670315273600636,0.006775807397099154,0.008221590614980068,0.006707698137973672,0.009242977994392628,7.815952139739234e-05,0.2054081847904163,0.900447406497211,0.0014361070767776934,-0.01466273106020731
2020-06-03,-0.0010698329368985515,0.027578834482216985,0.006892378435710889,0.013202409244944091,0.004498724704616652,0.011133793327009775,7.123857181713438e-05,0.20553541492514282,0.9008428074209699,0.004296348300300576,-0.010366382759906733
2020-06-04,-0.01200527529544082,0.011047050690754512,-0.013022396930858049,-0.00254317171441365,-0.007013467739865997,-0.004660207178514786,2.0087822458779913e-05,0.2189925375278212,0.8940169743689597,0.0021467998347641636,-0.00821958292514257
2020-06-05,0.020156390867316132,0.023595516471841993,0.021297729814444333,0.025568265425815362,0.01982724739895292,0.02168321238453415,0.00016500628474370289,0.217155599292158,0.9012232229109873,-0.0019028617039512884,-0.010122444629093858
2020-06-08,0.013801215285433432,-0.0030123533763154464,0.007911246397027005,0.0121250451793955,0.007760052595941147,0.006233369435381664,6.423001309973069e-05,0.21797441016514207,0.9025343571495639,-0.0034775242300470466,-0.013599968859140905
2020-06-09,0.017355754627253805,0.0018391691752708272,-0.00022671092610870858,-0.007100251391292889,0.007244943348173383,0.006322737625471975,-0.00019222810358664882,0.2195389080949749,0.9136396601854393,0.0014544795880150028,-0.012145489271125902
2020-06-10,0.02949350255478378,0.0051140759242220835,0.009779703255518246,-0.006236127522768253,0.01200142319798414,0.014795760578174702,-1.588051841397149e-05,0.23899351897964471,0.9153922409991821,0.0053160254816786,-0.006829463789447302
2020-06-11,-0.048883648714702854,-0.06138288496191735,-0.05336950794391304,-0.0576360713587718,-0.04954908077848419,-0.05454534720684442,0.00033889636489507356,0.2294123408116585,0.9007536854426343,0.002969699595378558,-0.0038597641940687436
2020-06-12,0.0020999541836352886,0.01410794583228503,0.011750364685490844,0.012051326355558833,0.007948001100871904,0.009319421567137054,0.0004370063683526034,0.2147132179118124,0.9252149467127306,-0.0010587732781389449,-0.0049185374722076885
2020-06-15,0.01982691182962748,0.012952321708197045,0.005420079835032787,0.009118766704154124,0.01216719028770541,0.012733104457619104,0.0006495206361605487,0.16427258793391475,0.9627696122619063,-0.001128580659409427,-0.006047118131617115
2020-06-16,0.011271056416203074,0.015627979750233445,0.015261704360499229,0.01956045895956282,0.01717270889769118,0.01405358017564525,0.0004025427643779391,0.175718187596647,0.950647628948354,-0.006111285981876083,-0.012158404113493199
2020-06-17,0.0062705393406343735,0.010591785292896727,0.003769584697013828,-0.004587767371375451,0.00317081010212128,0.006877303110181643,1.6242252350864243e-05,0.17956206075808268,0.9616753787041423,0.004635559815557244,-0.0075228442979359544
2020-06-18,0.0022014963216814287,-0.0013841174299423775,0.00036647877402495865,0.0009080070273066454,0.0027091075994276625,0.00039461922192133664,-1.3836737155042012e-05,0.2162727852912108,0.9256672797624736,-0.002295653511929272,-0.009818497809865226
2020-06-19,0.00048026512056198456,-0.00468670363041046,-0.0037313074574786276,-0.0058956417295452646,-0.00016375062353435332,-0.002645915322442368,-8.363168605213895e-05,0.18347470445242514,0.9383536781411573,-0.0013269265126131585,-0.011145424322478385
2020-06-22,0.015800674286855054,0.009151949456076336,0.008602790210954225,0.006632334664164796,0.011992601585565144,0.011185137984628538,-0.0002155074543928751,0.1609954841052064,0.9625012099997592,-0.0012100240281350209,-0.012355448350613406
2020-06-23,0.009702894887462676,0.0032857190430797267,0.0029497597388825625,0.004531822057742163,0.008511299733478417,0.005312791223141655,-0.00016299582587441636,0.18173015215969526,0.9561727195613303,-0.0034860542762597587,-0.015841502626873165
2020-06-24,-0.023931562654438965,-0.020960231965764464,-0.022001570761162492,-0.025576383504895106,-0.020615832178396576,-0.022297788460455308,-0.00023305532546919285,0.18340667489812948,0.9552025660923631,0.0023184421184999845,-0.01352306050837318
2020-06-25,0.01427992339870543,0.006824061167150619,0.008579221943862514,0.010577598586367198,0.009519484158542646,0.009894402169906188,-0.00016287607718769043,0.1799726300309095,0.9592972539383307,-0.0009784150021052568,-0.014501475510478437
2020-06-26,-0.03896225532071629,-0.0187387845465955,-0.020179076374005844,-0.023435284308935045,-0.023614951391062067,-0.02596003874710588,-0.00012696802217795281,0.1750938317092059,0.961939133343366,0.000986448876982099,-0.013515026633496338
2020-06-29,0.018897321723168936,0.010157753435792838,0.012738669411689552,0.014593293454340461,0.010906706493294172,0.013931248190217108,-0.00014255770498559938,0.17656102795341416,0.9625379526561577,0.0009990800634015317,-0.012515946570094806
2020-06-30,0.02991715239404802,0.024334703933749147,0.017237446180230487,0.013335659382659903,0.019601133325132247,0.023829767502675885,-8.57288746489355e-05,0.18176113558818432,0.9601999131986365,0.002670585266728448,-0.009845361303366358
