Date,AAPL,AMZN,GOOGL,MAGS,META,MSFT,NVDA,QQQ,SMH,SPMO,SPY,TSLA,VOO
2020-01-02,72.27152252197266,94.90049743652344,67.83251190185547,,207.95384216308594,151.5442352294922,5.963803291320801,208.08889770507812,69.70354461669922,39.274044036865234,296.1252746582031,28.68400001525879,271.11260986328125
2020-01-03,71.56891632080078,93.74849700927734,67.47765350341797,99.55417700775817,206.853515625,149.6572723388672,5.86834716796875,206.1827850341797,68.56173706054688,39.152915954589844,293.8829040527344,29.534000396728516,269.132080078125
2020-01-06,72.13919067382812,95.14399719238281,69.27621459960938,100.89637291020345,210.74929809570312,150.04409790039062,5.892956733703613,207.51123046875,67.8294448852539,39.18181228637695,295.0041198730469,30.1026668548584,270.1405334472656
2020-01-07,71.79991149902344,95.34300231933594,69.14240264892578,101.4644195898794,211.20526123046875,148.67604064941406,5.964301109313965,207.48243713378906,68.96161651611328,38.95817565917969,294.1746826171875,31.270666122436523,269.3955078125
2020-01-08,72.95491027832031,94.59850311279297,69.63452911376953,102.80581053817812,213.3464813232422,151.04420471191406,5.97548770904541,209.04190063476562,69.07723999023438,39.15385055541992,295.7424621582031,32.80933380126953,270.7854919433594
2020-01-09,74.50453186035156,95.05249786376953,70.36555480957031,103.57508667718372,216.3997039794922,152.9311981201172,6.04111385345459,210.81321716308594,69.47229766845703,39.55452346801758,297.747802734375,32.089332580566406,272.65692138671875
2020-01-10,74.67298126220703,94.15799713134766,70.82003021240234,103.46122118294541,216.16175842285156,152.22357177734375,6.073430061340332,210.27410888671875,68.89417266845703,39.50700378417969,296.89093017578125,31.876667022705078,271.875732421875
2020-01-13,76.26830291748047,94.56500244140625,71.36866760253906,106.3013074767868,219.97825622558594,154.0540008544922,6.263845443725586,212.70004272460938,69.85772705078125,39.794925689697266,298.9327392578125,34.990665435791016,273.6744689941406
2020-01-14,75.23844146728516,93.47200012207031,70.90081787109375,105.61380356392343,217.15306091308594,152.96896362304688,6.147010326385498,211.86248779296875,70.00225067138672,39.71479415893555,298.4770812988281,35.861331939697266,273.3110656738281
2020-01-15,74.91600799560547,93.10099792480469,71.32752227783203,105.17268882561169,219.22483825683594,153.9595947265625,6.104503154754639,211.94920349121094,68.9664306640625,40.08564376831055,299.1515808105469,34.56666564941406,273.9198303222656
2020-01-16,75.85444641113281,93.89700317382812,71.87071228027344,105.98160537218153,219.83949279785156,156.7806854248047,6.188027858734131,213.9803466796875,70.07935333251953,40.39778518676758,301.6400146484375,34.232666015625,276.209228515625
2020-01-17,76.6942138671875,93.23600006103516,73.3258056640625,106.39228809576456,220.2062530517578,157.65811157226562,6.19672966003418,215.03924560546875,70.368408203125,40.65031051635742,302.5788879394531,34.03333282470703,277.1448974609375
2020-01-21,76.17446899414062,94.5999984741211,73.46111297607422,107.44816687248448,219.5123291015625,157.092041015625,6.163417339324951,214.94302368164062,70.42621612548828,40.70994186401367,301.9864501953125,36.47999954223633,276.5726013183594
2020-01-22,76.44636535644531,94.37300109863281,73.5413818359375,108.1623940229365,219.39337158203125,156.3372039794922,6.217360019683838,215.510986328125,71.00435638427734,40.832000732421875,302.0228576660156,37.97066879272461,276.6452941894531
2020-01-23,76.81452941894531,94.22899627685547,73.58202362060547,108.44949371393966,217.84693908691406,157.29959106445312,6.285722255706787,216.20413208007812,71.44759368896484,40.83387756347656,302.3691711425781,38.14666748046875,276.9178161621094
2020-01-24,76.59319305419922,93.08200073242188,72.6641616821289,107.39294093342426,216.04281616210938,155.71450805664062,6.226557731628418,214.38465881347656,71.13442993164062,40.632606506347656,299.6802062988281,37.654666900634766,274.39227294921875
2020-01-27,74.34090423583984,91.41699981689453,70.9572982788086,105.01996955989918,212.99954223632812,153.11045837402344,5.971013069152832,209.95643615722656,68.26786041259766,40.24962615966797,294.8765563964844,37.201332092285156,270.031494140625
2020-01-28,76.44395446777344,92.6624984741211,71.88756561279297,107.06741758674829,215.8941192626953,156.1107635498047,6.164163589477539,213.18130493164062,69.97816467285156,40.573890686035156,297.966552734375,37.793331146240234,272.95684814453125
2020-01-29,78.04412841796875,92.9000015258789,72.19482421875,108.34298294580907,221.28672790527344,158.5449676513672,6.103757381439209,213.5279083251953,68.91344451904297,40.522647857666016,297.7204895019531,38.732666015625,272.68426513671875
