"STUB_1","STUB_2","3/25/11","3/18/11","3/26/10","3/27/09","3/25/11","3/26/10"
"Stocks (Million Barrels) ","Lower Atlantic (PADD 1C)","11.963","11.583","7.872","7.602","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","27.980","27.610","25.051","27.846","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","41.923","42.840","32.332","26.396","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","2.970","2.927","2.630","2.939","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","10.930","10.316","9.145","10.384","– –","– –"
"Stocks (Million Barrels) ","> 15 ppm to 500 ppm sulfur","10.189","9.363","14.354","19.679","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","4.103","3.842","5.581","7.221","– –","– –"
"Stocks (Million Barrels) ","New England (PADD 1A)","0.434","0.140","0.195","0.660","– –","– –"
"Stocks (Million Barrels) ","Central Atlantic (PADD 1B)","2.733","2.722","3.343","2.737","– –","– –"
"Stocks (Million Barrels) ","Lower Atlantic (PADD 1C)","0.936","0.980","2.043","3.824","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","1.457","1.396","2.271","3.580","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","3.076","2.736","5.485","7.424","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.302","0.308","0.274","0.244","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","1.251","1.082","0.743","1.210","– –","– –"
"Stocks (Million Barrels) ","> 500 ppm sulfur","35.198","36.026","41.705","38.141","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","26.612","26.851","32.695","27.321","– –","– –"
"Stocks (Million Barrels) ","New England (PADD 1A)","5.918","6.239","7.471","7.013","– –","– –"
"Stocks (Million Barrels) ","Central Atlantic (PADD 1B)","18.930","18.425","23.040","17.335","– –","– –"
"Stocks (Million Barrels) ","Lower Atlantic (PADD 1C)","1.764","2.186","2.184","2.973","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","1.468","1.431","1.684","2.292","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","5.667","6.409","6.114","6.837","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.173","0.151","0.128","0.138","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","1.278","1.184","1.084","1.553","– –","– –"
"Stocks (Million Barrels) ","Residual Fuel Oil","37.435","36.430","39.933","35.515","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","10.794","11.589","15.664","13.164","– –","– –"
"Stocks (Million Barrels) ","New England (PADD 1A)","0.568","0.631","0.893","1.213","– –","– –"
"Stocks (Million Barrels) ","Central Atlantic (PADD 1B)","7.871","8.723","12.860","9.830","– –","– –"
"Stocks (Million Barrels) ","Lower Atlantic (PADD 1C)","2.355","2.234","1.911","2.121","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","1.559","1.560","1.365","1.411","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","20.360","18.460","18.090","16.024","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.201","0.219","0.182","0.248","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","4.521","4.603","4.632","4.668","– –","– –"
"Stocks (Million Barrels) ","Propane/Propylene","26.895","27.001","25.617","38.416","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","2.162","2.202","2.213","2.889","– –","– –"
"Stocks (Million Barrels) ","New England (PADD 1A)","0.450","0.549","0.371","0.784","– –","– –"
"Stocks (Million Barrels) ","Central Atlantic (PADD 1B)","0.843","0.722","0.774","0.923","– –","– –"
"Stocks (Million Barrels) ","Lower Atlantic (PADD 1C)","0.869","0.931","1.068","1.182","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","10.436","9.629","9.786","13.456","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","13.737","14.632","12.992","21.238","– –","– –"
"Stocks (Million Barrels) ","PADD's 4 & 5","0.560","0.538","0.626","0.833","– –","– –"
"Stocks (Million Barrels) ","Propylene (Total U.S. Nonfuel Use)","1.736","2.100","2.178","2.829","– –","– –"
"Stocks (Million Barrels) ","Other Oils","191.047","191.071","–","–","– –","– –"
"Stocks (Million Barrels) ","Unfinished Oils","84.188","85.637","81.188","87.978","– –","– –"
"Stocks (Million Barrels) ","Kerosene","1.538","1.559","–","–","– –","– –"
"Stocks (Million Barrels) ","Asphalt and Road Oil","26.689","25.901","–","–","– –","– –"
"Stocks (Million Barrels) ","NGPLs/LRGs (Excluding Propane/Propylene)","54.160","53.427","–","–","– –","– –"
"Stocks (Million Barrels) ","Total Stocks (Excluding SPR)","1,042.119","1,038.790","1,042.397","1,051.522","– –","– –"
"Stocks (Million Barrels) ","Total Stocks (Including SPR)","1,768.661","1,765.332","1,769.004","1,762.537","– –","– –"
"Imports ","Total Crude Oil Incl SPR","9,128","8,987","9,060","9,554","8,774","8,844"
"Imports ","Commercial","9,128","8,987","9,060","9,554","8,774","8,844"
"Imports ","East Coast (PADD 1)","980","1,255","867","1,241","980","1,130"
"Imports ","Midwest (PADD 2)","1,271","1,311","1,485","1,173","1,348","1,177"
"Imports ","Gulf Coast (PADD 3)","5,450","5,044","5,202","5,984","5,079","5,137"
"Imports ","Rocky Mountain (PADD 4)","330","298","226","236","301","249"
"Imports ","West Coast (PADD 5)","1,097","1,079","1,280","920","1,067","1,151"
"Imports ","Imports by SPR","0","0","0","0","0","0"
"Imports ","Imports into SPR by Others","0","0","–","–","0","–"
"Imports ","Total Motor Gasoline","884","695","710","1,211","747","687"
"Imports ","East Coast (PADD 1)","703","484","642","1,072","580","609"
"Imports ","Midwest (PADD 2)","0","3","0","0","7","1"
"Imports ","Gulf Coast (PADD 3)","152","194","55","135","137","67"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Imports ","West Coast (PADD 5)","29","14","13","4","23","10"
"Imports ","Finished Motor Gasoline","123","86","59","327","91","103"
"Imports ","East Coast (PADD 1)","74","86","59","265","79","79"
"Imports ","Midwest (PADD 2)","0","0","0","0","0","1"
"Imports ","Gulf Coast (PADD 3)","49","0","0","58","12","24"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Imports ","West Coast (PADD 5)","0","0","0","4","0","0"
"Imports ","Reformulated","0","0","0","0","0","0"
"Imports ","East Coast (PADD 1)","0","0","0","0","0","0"
"Imports ","Midwest (PADD 2)","0","0","0","0","0","0"
"Imports ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Imports ","West Coast (PADD 5)","0","0","0","0","0","0"
"Imports ","Blended with Fuel Ethanol","0","0","0","0","0","0"
"Imports ","East Coast (PADD 1)","0","0","0","0","0","0"
"Imports ","Midwest (PADD 2)","0","0","0","0","0","0"
"Imports ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Imports ","West Coast (PADD 5)","0","0","0","0","0","0"
"Imports ","Other","0","0","0","0","0","–"
"Imports ","East Coast (PADD 1)","0","0","0","0","0","–"
"Imports ","Midwest (PADD 2)","0","0","0","0","0","–"
"Imports ","Gulf Coast (PADD 3)","0","0","0","0","0","–"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","–"
"Imports ","West Coast (PADD 5)","0","0","0","0","0","–"
"Imports ","Conventional","123","86","59","327","91","103"
"Imports ","East Coast (PADD 1)","74","86","59","265","79","79"
"Imports ","Midwest (PADD 2)","0","0","0","0","0","1"
"Imports ","Gulf Coast (PADD 3)","49","0","0","58","12","24"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Imports ","West Coast (PADD 5)","0","0","0","4","0","0"
"Imports ","Blended with Fuel Ethanol","0","0","0","0","0","1"
"Imports ","East Coast (PADD 1)","0","0","0","0","0","0"
"Imports ","Midwest (PADD 2)","0","0","0","0","0","1"
"Imports ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Imports ","West Coast (PADD 5)","0","0","0","0","0","0"
"Imports ","Ed55 and Lower","0","0","–","–","0","–"
"Imports ","East Coast (PADD 1)","0","0","–","–","0","–"
"Imports ","Midwest (PADD 2)","0","0","–","–","0","–"
"Imports ","Gulf Coast (PADD 3)","0","0","–","–","0","–"
"Imports ","Rocky Mountain (PADD 4)","0","0","–","–","0","–"
"Imports ","West Coast (PADD 5)","0","0","–","–","0","–"
"Imports ","Greater than Ed55","0","0","–","–","0","–"
"Imports ","East Coast (PADD 1)","0","0","–","–","0","–"
"Imports ","Midwest (PADD 2)","0","0","–","–","0","–"
"Imports ","Gulf Coast (PADD 3)","0","0","–","–","0","–"
"Imports ","Rocky Mountain (PADD 4)","0","0","–","–","0","–"
"Imports ","West Coast (PADD 5)","0","0","–","–","0","–"
"Imports ","Other","123","86","59","327","91","103"
"Imports ","East Coast (PADD 1)","74","86","59","265","79","79"
"Imports ","Midwest (PADD 2)","0","0","0","0","0","1"
"Imports ","Gulf Coast (PADD 3)","49","0","0","58","12","24"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Imports ","West Coast (PADD 5)","0","0","0","4","0","0"
"Imports ","Motor Gasoline Blending Components","761","609","651","884","656","584"
"Imports ","East Coast (PADD 1)","630","398","583","807","502","531"
"Imports ","Midwest (PADD 2)","0","3","0","0","7","0"
"Imports ","Gulf Coast (PADD 3)","103","194","55","77","124","43"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Imports ","West Coast (PADD 5)","29","14","13","0","23","10"
"Imports ","RBOB","146","93","–","–","128","–"
"Imports ","East Coast (PADD 1)","146","93","–","–","116","–"
"Imports ","Midwest (PADD 2)","0","0","–","–","0","–"
"Imports ","Gulf Coast (PADD 3)","0","0","–","–","0","–"
"Imports ","Rocky Mountain (PADD 4)","0","0","–","–","0","–"
"Imports ","West Coast (PADD 5)","0","0","–","–","11","–"
"Imports ","CBOB","85","58","94","37","80","45"
"Imports ","East Coast (PADD 1)","78","58","94","37","78","43"
"Imports ","Midwest (PADD 2)","0","0","0","0","0","0"
"Imports ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Imports ","West Coast (PADD 5)","7","0","0","0","3","2"
"Imports ","GTAB","85","24","–","–","33","–"
"Imports ","East Coast (PADD 1)","78","24","–","–","31","–"
"Imports ","Midwest (PADD 2)","0","0","–","–","0","–"
"Imports ","Gulf Coast (PADD 3)","8","0","–","–","2","–"
"Imports ","Rocky Mountain (PADD 4)","0","0","–","–","0","–"
"Imports ","West Coast (PADD 5)","0","0","–","–","0","–"
"Imports ","All Other Blending Components","445","433","355","573","415","360"
"Imports ","East Coast (PADD 1)","328","222","287","496","277","308"
"Imports ","Midwest (PADD 2)","0","3","0","0","7","0"
"Imports ","Gulf Coast (PADD 3)","95","194","55","77","122","43"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Imports ","West Coast (PADD 5)","21","14","13","0","9","9"
"Imports ","Fuel Ethanol","0","0","–","–","0","–"
"Imports ","East Coast (PADD 1)","0","0","–","–","0","–"
"Imports ","Midwest (PADD 2)","0","0","–","–","0","–"
"Imports ","Gulf Coast (PADD 3)","0","0","–","–","0","–"
"Imports ","Rocky Mountain (PADD 4)","0","0","–","–","0","–"
"Imports ","West Coast (PADD 5)","0","0","–","–","0","–"
"Imports ","Kerosene-Type Jet Fuel","101","27","92","150","40","72"
"Imports ","East Coast (PADD 1)","83","24","74","35","34","53"
"Imports ","Midwest (PADD 2)","0","0","0","0","0","0"
"Imports ","Gulf Coast (PADD 3)","0","0","0","23","0","4"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Imports ","West Coast (PADD 5)","18","3","18","92","6","16"
"Imports ","Distillate Fuel Oil","243","192","321","263","212","196"
"Imports ","East Coast (PADD 1)","240","192","314","261","206","185"
"Imports ","Midwest (PADD 2)","0","0","1","2","4","5"
"Imports ","Gulf Coast (PADD 3)","0","0","0","0","0","0"
"Imports ","Rocky Mountain (PADD 4)","3","0","3","0","1","2"
"Imports ","West Coast (PADD 5)","0","0","3","0","0","4"
"Imports ","15 ppm sulfur and Under","149","114","88","67","123","86"
"Imports ","East Coast (PADD 1)","146","114","–","–","118","–"
"Imports ","Midwest (PADD 2)","0","0","–","–","4","–"
"Imports ","Gulf Coast (PADD 3)","0","0","–","–","0","–"
"Imports ","Rocky Mountain (PADD 4)","2","0","–","–","1","–"
"Imports ","West Coast (PADD 5)","0","0","–","–","0","–"
"Imports ","> 15 ppm to 500 ppm sulfur","44","0","166","110","17","71"
"Imports ","East Coast (PADD 1)","43","0","–","–","17","–"
"Imports ","Midwest (PADD 2)","0","0","–","–","0","–"
"Imports ","Gulf Coast (PADD 3)","0","0","–","–","0","–"
"Imports ","Rocky Mountain (PADD 4)","1","0","–","–","0","–"
"Imports ","West Coast (PADD 5)","0","0","–","–","0","–"
"Imports ","> 500 ppm to 2000 ppm sulfur","50","43","67","74","48","39"
"Imports ","East Coast (PADD 1)","50","43","–","–","48","–"
"Imports ","Midwest (PADD 2)","0","0","–","–","0","–"
"Imports ","Gulf Coast (PADD 3)","0","0","–","–","0","–"
"Imports ","Rocky Mountain (PADD 4)","0","0","–","–","0","–"
"Imports ","West Coast (PADD 5)","0","0","–","–","0","–"
"Imports ","> 2000 ppm sulfur","0","35","0","12","24","0"
"Imports ","East Coast (PADD 1)","0","35","–","–","24","–"
"Imports ","Midwest (PADD 2)","0","0","–","–","0","–"
"Imports ","Gulf Coast (PADD 3)","0","0","–","–","0","–"
"Imports ","Rocky Mountain (PADD 4)","0","0","–","–","0","–"
"Imports ","West Coast (PADD 5)","0","0","–","–","0","–"
"Imports ","Residual Fuel Oil","451","445","571","369","447","383"
"Imports ","East Coast (PADD 1)","217","249","377","272","266","230"
"Imports ","Midwest (PADD 2)","2","1","4","0","2","3"
"Imports ","Gulf Coast (PADD 3)","195","143","190","0","147","101"
"Imports ","Rocky Mountain (PADD 4)","0","0","0","0","0","0"
"Imports ","West Coast (PADD 5)","36","52","0","97","31","50"
"Imports ","Propane/Propylene","74","81","158","285","108","155"
"Imports ","East Coast (PADD 1)","19","28","81","151","38","56"
"Imports ","Midwest (PADD 2)","40","37","71","98","53","94"
"Imports ","Gulf Coast (PADD 3)","0","0","0","0","3","0"
"Imports ","PADDs 4 and 5","15","16","–","–","15","–"
"Imports ","Other Oils","637","1,139","–","–","802","–"
"Imports ","East Coast (PADD 1)","105","254","–","–","153","–"
"Imports ","Midwest (PADD 2)","28","36","–","–","32","–"
"Imports ","Gulf Coast (PADD 3)","446","668","–","–","541","–"
"Imports ","Rocky Mountain (PADD 4)","1","1","–","–","1","–"
"Imports ","West Coast (PADD 5)","57","180","–","–","74","–"
"Imports ","Kerosene","0","0","–","–","0","–"
"Imports ","NGPLs/LRGs (Excluding Propane/Propylene)","26","46","–","–","38","–"
"Imports ","Total Product Imports","2,390","2,579","2,570","3,163","2,355","2,343"
"Imports ","East Coast (PADD 1)","1,367","1,232","1,590","1,831","1,277","1,235"
"Imports ","Midwest (PADD 2)","70","78","109","115","98","139"
"Imports ","Gulf Coast (PADD 3)","793","1,004","750","867","828","806"
"Imports ","Rocky Mountain (PADD 4)","11","9","18","4","10","18"
"Imports ","West Coast (PADD 5)","148","258","103","346","142","145"
"Imports ","Total Imports (Incl SPR)","11,518","11,566","11,630","12,717","11,129","11,187"
"Imports ","East Coast (PADD 1)","2,347","2,486","2,457","3,072","2,257","2,366"
"Imports ","Midwest (PADD 2)","1,341","1,389","1,594","1,288","1,446","1,316"
"Imports ","Gulf Coast (PADD 3)","6,243","6,049","5,952","6,851","5,907","5,943"
"Imports ","Rocky Mountain (PADD 4)","342","307","244","240","311","267"
"Imports ","West Coast (PADD 5)","1,245","1,337","1,383","1,266","1,209","1,296"
"Exports ","Total","2,327","2,327","1,644","1,651","2,287","1,661"
"Exports ","Crude Oil","34","34","33","29","34","33"
"Exports ","Products","2,293","2,293","1,611","1,622","2,254","1,628"
"Exports ","Finished Motor Gasoline","282","282","–","–","267","–"
"Exports ","Kerosene-Type Jet Fuel","88","88","–","–","88","–"
"Exports ","Distillate Fuel Oil","738","738","–","–","725","–"
"Exports ","Residual Fuel Oil","405","405","–","–","395","–"
"Exports ","Propane/Propylene","102","102","–","–","103","–"
"Exports ","Other Oils","678","678","–","–","676","–"
"Net Imports (Incl SPR) ","Total","9,191","9,239","9,986","11,066","8,842","9,526"
"Net Imports (Incl SPR) ","Crude Oil","9,094","8,953","9,027","9,525","8,740","8,811"
"Net Imports (Incl SPR) ","Products","97","286","959","1,541","102","715"
"Product Supplied ","Total Product Supplied","18,605","19,310","19,021","18,591","19,174","19,211"
"Product Supplied ","Finished Motor Gasoline","8,866","9,074","9,060","9,125","8,991","8,997"
"Product Supplied ","Kerosene-Type Jet Fuel","1,291","1,530","1,529","1,485","1,377","1,369"
"Product Supplied ","Distillate Fuel Oil","3,637","3,771","3,646","3,653","3,881","3,716"
"Product Supplied ","Residual Fuel Oil","482","456","491","436","566","593"
"Product Supplied ","Propane/Propylene","1,000","1,078","1,062","1,173","1,077","1,166"
"Product Supplied ","Other Oils","3,329","3,401","3,232","2,718","3,283","3,371"
"Ultra Low Sulfur Distillate Reclassification ","< 15 ppm Distillate, Downgraded to 15 to 500 ppm","47","19","23","68","30","29"
